speed_kmh,shutter_us,illum_lx,iso,axis,bew_mean,bew_sd,mtf50_mean,mtf50_sd,n_frames
0,50,15000,1600,H,3.364,0.038930136855083945,0.158445,0.0025864443632996384,10
0,50,15000,1600,V,2.945,0.03681787005729096,0.17908,0.0028605749227889306,10
10,50,15000,1600,H,3.682,0.6713924171285954,0.14914,0.025030090779788322,10
10,50,15000,1600,V,3.092,0.18412254373408793,0.17113499999999998,0.014614187360993508,10
30,50,15000,1600,H,3.9185000000000003,0.4633696028969627,0.13267500000000002,0.014059382987883931,10
30,50,15000,1600,V,3.036,0.1899824553303104,0.17216,0.012443467719606506,10
50,50,15000,1600,H,4.5,0.28444878468910934,0.11188499999999998,0.007432363539129241,10
50,50,15000,1600,V,2.9895,0.15722330192012463,0.17574,0.009049548791698588,10
70,50,15000,1600,H,5.303,0.37470136256906145,0.09197,0.006024911248770023,10
70,50,15000,1600,V,3.1435,0.18321283919104686,0.170145,0.011672223676556051,10
0,100,15000,1600,H,3.5784999999999996,0.049444132333596694,0.149965,0.0022643431718712584,10
0,100,15000,1600,V,3.025,0.03785938897200181,0.17372,0.002009311656596187,10
10,100,15000,1600,H,3.8674999999999997,0.7212113652275131,0.141335,0.025411808825382298,10
10,100,15000,1600,V,3.1094999999999997,0.25207417338729665,0.17116,0.016940103633422996,10
30,100,15000,1600,H,4.737,0.27277585425888917,0.103905,0.005508954831302693,10
30,100,15000,1600,V,3.022,0.14281300905574237,0.175,0.009195923009682064,10
50,100,15000,1600,H,6.366,0.1805823911681316,0.07501,0.0016103484785046438,10
50,100,15000,1600,V,3.0134999999999996,0.11239933768092698,0.173545,0.008573034274203431,10
70,100,15000,1600,H,8.4645,0.19914330406909433,0.05619500000000001,0.0013064902091736706,10
70,100,15000,1600,V,3.228,0.17445470599684165,0.16141,0.009361261785796944,10
0,250,15000,1250,H,3.6090000000000004,0.01807392228230129,0.14824500000000002,0.0018962609407873067,10
0,250,15000,1250,V,3.0615,0.0165075740192192,0.17023,0.0018558017135459318,10
10,250,15000,1250,H,4.6945,0.40312976956696095,0.107345,0.008201099181071878,10
10,250,15000,1250,V,3.181,0.16711273639871574,0.164825,0.01043552293317823,10
30,250,15000,1250,H,8.785,0.09913514905308644,0.053815,0.0005710857106327261,10
30,250,15000,1250,V,3.169,0.09317844290511741,0.1644,0.00443521263426131,10
50,250,15000,1250,H,13.844,0.09224966124598988,0.034295,0.00019213710382606002,10
50,250,15000,1250,V,3.3365,0.13723560438570986,0.15444,0.0069609146908530175,10
70,250,15000,1250,H,19.0025,0.1365904258886553,0.02509,0.00023897931105246626,10
70,250,15000,1250,V,3.664,0.13761459870877712,0.13846,0.005060072463249253,10
0,500,15000,640,H,3.4055,0.014615440845595882,0.156505,0.0008703288012137819,10
0,500,15000,640,V,3.0155000000000003,0.01657474652060247,0.174925,0.001119585736878694,10
10,500,15000,640,H,6.3075,0.23090702794751736,0.07542,0.0017873319656839183,10
10,500,15000,640,V,3.0420000000000003,0.13248060654718896,0.172055,0.007941258296600938,10
30,500,15000,640,H,16.39,0.039930495169036274,0.029035,9.442810316143649e-05,10
30,500,15000,640,V,3.4775,0.10317864766187498,0.1474,0.004954066791816379,10
50,500,15000,640,H,27.619999999999997,0.2400925747382555,0.01795,0.00011055415967851687,10
50,500,15000,640,V,4.096500000000001,0.07487211318864524,0.1213,0.002422005596837285,10
70,500,15000,640,H,38.301,0.23225704151507096,0.013175000000000001,0.00010341394704992377,10
70,500,15000,640,V,4.8735,0.109393530176352,0.09894499999999999,0.0022861235992638488,10
0,50,40000,1600,H,3.4385,0.043079384087209745,0.15918000000000002,0.0038072445562520774,10
0,50,40000,1600,V,3.4225000000000003,0.03630503485132003,0.157945,0.0020029769511071965,10
10,50,40000,1600,H,3.6420000000000003,0.3324254302346122,0.14658,0.009815101742836016,10
10,50,40000,1600,V,3.4219999999999997,0.04479583313955281,0.15509,0.0031017736861350736,10
30,50,40000,1600,H,3.9165,0.22950490190843428,0.13424,0.00604813102444787,10
30,50,40000,1600,V,3.4435000000000002,0.06329165295150171,0.15373,0.0028168343145374385,10
50,50,40000,1600,H,4.4575000000000005,0.15790732162323007,0.11304499999999999,0.0030365779350373253,10
50,50,40000,1600,V,3.4259999999999997,0.04408325456829765,0.154505,0.001617516958523486,10
70,50,40000,1600,H,5.307,0.2007098513886265,0.09008,0.002554864640902399,10
70,50,40000,1600,V,3.492,0.06721441644303537,0.152935,0.002532351783531575,10
0,100,40000,1600,H,3.4975,0.01932902250790533,0.15689,0.0027592068103391913,10
0,100,40000,1600,V,3.4244999999999997,0.03601311489505519,0.15732,0.0013880842113423004,10
10,100,40000,1600,H,3.624,0.2122079692712369,0.145905,0.0064410338197114425,10
10,100,40000,1600,V,3.437,0.03973523485382834,0.15804,0.003079303673090896,10
30,100,40000,1600,H,4.793,0.16962704186931218,0.10353000000000001,0.0035782677373276625,10
30,100,40000,1600,V,3.4435000000000002,0.04390962941719688,0.156255,0.00329380310414708,10
50,100,40000,1600,H,6.475499999999999,0.1416656862711174,0.074085,0.0013786164562101149,10
50,100,40000,1600,V,3.5215000000000005,0.06037153486720563,0.15244,0.0034521169028744014,10
70,100,40000,1600,H,8.388,0.11501690696975293,0.05655,0.0007176350047203648,10
70,100,40000,1600,V,3.6100000000000003,0.05691123692987965,0.14787,0.0038760804945202096,10
0,250,40000,1250,H,3.521,0.01679947089113893,0.15821000000000002,0.0010800720140599638,10
0,250,40000,1250,V,3.597,0.016865480854231445,0.1565,0.001002496882788171,10
10,250,40000,1250,H,4.3925,0.1256593720252405,0.11518500000000001,0.002738313552373267,10
10,250,40000,1250,V,3.5174999999999996,0.11509054406567602,0.156575,0.002614728581622864,10
30,250,40000,1250,H,8.3125,0.08479550564609978,0.05796,0.0005015531433014389,10
30,250,40000,1250,V,3.6189999999999998,0.08527081042837058,0.15174,0.0019935730067728473,10
50,250,40000,1250,H,12.8105,0.17731719851410077,0.03785,0.000573488351136174,10
50,250,40000,1250,V,3.7619999999999996,0.061246315081897644,0.14356,0.001280581465151235,10
70,250,40000,1250,H,17.431,0.18193100035147783,0.027995000000000003,0.0003286757943289678,10
70,250,40000,1250,V,4.032,0.08042249547096748,0.13022499999999998,0.0015433099350278217,10
0,500,40000,640,H,3.2370000000000005,0.007888106377466167,0.170135,0.0007550018395857032,10
0,500,40000,640,V,3.15,0.019002923751652284,0.17684,0.0016497137798889736,10
10,500,40000,640,H,6.099,0.26514985280864184,0.079815,0.002964329603805889,10
10,500,40000,640,V,3.012,0.1425014619808046,0.17371,0.010225697476890708,10
30,500,40000,640,H,15.168000000000001,0.09548705555088473,0.03211,0.000317804971641414,10
30,500,40000,640,V,3.223,0.0710711693382845,0.158215,0.0036876708999945603,10
50,500,40000,640,H,25.224,0.37637008973142894,0.02052,0.0003224903099319413,10
50,500,40000,640,V,3.7365000000000004,0.098179257822957,0.13338999999999998,0.0027003909182026107,10
70,500,40000,640,H,35.385,0.43237715018257095,0.01552857142857143,0.0004742161452132906,7
70,500,40000,640,V,4.457142857142857,0.08410594226218156,0.10919285714285713,0.0018435537627610613,7
